iter	Passed	Remaining
0	6051	599121
1	8519	417447
2	8561	276816
3	10465	251179
4	11358	215809
5	16122	252589
6	16274	216214
7	16821	193450
8	18362	185660
9	20968	188715
10	22550	182451
11	25501	187008
12	26618	178138
13	28187	173152
14	28920	163882
15	29422	154470
16	30809	150420
17	31803	144882
18	32383	138057
19	32784	131136
20	34437	129549
21	35005	124110
22	36351	121698
23	42351	134112
24	42820	128462
25	45893	130619
26	47091	127321
27	47595	122388
28	48460	118643
29	50079	116851
30	50648	112732
31	51434	109299
32	51918	105410
33	52272	101470
34	52626	97734
35	54079	96140
36	54874	93435
37	55678	90843
38	56268	88010
39	56294	84442
40	56320	81046
41	56435	77935
42	56507	74905
43	56576	72007
44	56661	69252
45	56743	66611
46	56887	64149
47	56942	61687
48	56999	59326
49	57049	57049
50	57088	54849
51	57119	52725
52	57137	50669
53	57154	48687
54	57172	46777
55	57188	44933
56	57205	43155
57	57222	41436
58	57239	39776
59	57272	38181
60	57321	36648
61	57379	35167
62	57459	33746
63	57553	32373
64	57623	31028
65	57771	29760
66	57857	28496
67	57927	27259
68	58109	26107
69	58468	25057
70	59186	24174
71	59807	23258
72	60291	22299
73	60353	21205
74	60370	20123
75	60387	19069
76	60405	18043
77	60421	17042
78	60441	16066
79	60458	15114
80	60475	14185
81	60492	13278
82	60509	12393
83	60526	11528
84	60545	10684
85	60563	9859
86	60603	9055
87	60620	8266
88	60656	7496
89	60839	6759
90	60879	6021
91	60921	5297
92	60988	4590
93	61062	3897
94	61134	3217
95	61159	2548
96	61180	1892
97	61197	1248
98	61214	618
99	61233	0
