provider_id,stake,capacity_gb,utilization_gb,region,node_age_days,uptime_pct,avg_latency,post_success_rate,proof_misses,slashing_count,is_failed,registered_at
0x70a2b22d3798a27cc3a8973e0ab7b7d1b4f2b3ab,3352.82,1647,0,EU-Central,52,0.5955,530.2,0.5405,0,0,True,2025-12-23T23:57:12.329990
0xad1a78ed02364a2a84c271c5d20e36646178e912,1318.65,3628,0,US-West,85,0.8593,238.88,0.7266,0,0,True,2025-11-20T23:57:12.329990
0x49b099584582e5b52f2a2ef2dfa6c9792b2b6059,77874.9,3080,84,Asia-Pacific,38,0.8861,226.31,0.7454,1,0,False,2026-01-06T23:57:12.329990
0xd6c55d62414a73fc8a03294e856fd67709a377b8,2503.18,3397,87,US-East,50,0.99,144.1,0.8813,1,0,True,2025-12-25T23:57:12.329990
0x33a5b7773055d9400189a4cfe3ca38515c3249c0,3856.9,2732,117,South-America,22,0.7658,292.98,0.8052,0,0,False,2026-01-22T23:57:12.329990
0x93df8ee7900371504943c7e3564017ffbe22bf96,35229.89,1351,0,South-America,31,0.6298,567.86,0.5192,1,0,True,2026-01-13T23:57:12.329990
0x014551fd282737279e4cfdb1f69f24cabeaf3faa,3693.12,1549,0,EU-Central,66,0.7211,530.17,0.8,0,0,False,2025-12-09T23:57:12.329990
0x33ca39cd75a34fb0b1b2fa43e4070781db98072a,2947.32,408,200,EU-West,4,0.5848,456.13,0.5247,1,0,True,2026-02-09T23:57:12.329990
0xdbe5a1d861b9f59f57ed4635a6e30f018e101943,8129.41,493,0,Asia-Pacific,78,0.9023,105.51,0.85,0,0,False,2025-11-27T23:57:12.329990
0xcfc5e884ed723d0391933328f40b2ae5e6f229aa,2568.89,2241,36,US-West,81,0.9461,116.76,0.97,0,0,False,2025-11-24T23:57:12.329990
0xaf7e3570528d03a9ffa05afa89065bfb8db63965,1324.47,930,0,EU-Central,86,0.6452,340.99,0.6157,0,0,True,2025-11-19T23:57:12.329990
0xbaa13cc2b749bd4b27707b491ee2af746f5dab2e,17701.37,3107,0,EU-West,80,0.8043,260.76,0.7,1,0,True,2025-11-25T23:57:12.329990
0x83065e426fc4dc6a9aef2b41a249c7162dd28435,20466.08,1165,92,EU-West,13,0.9201,3259.07,0.9,0,0,False,2026-01-31T23:57:12.329990
0x4236cbf91884aad7a7c90140852afadd2f038a2b,3045.61,2448,90,EU-Central,77,0.9193,190.89,0.775,0,0,False,2025-11-28T23:57:12.329990
0x250cbcbe1f43270d947e8cbabaa7f2370802efa7,13063.31,3771,0,South-America,82,0.5558,603.49,0.5,0,0,True,2025-11-23T23:57:12.329990
0xdef17773f7176fae7699ae9d2a77aab32cd0f322,24917.53,1893,72,EU-West,10,0.99,143.76,0.85,0,0,False,2026-02-03T23:57:12.329990
0xe7a45561a273dce59dc6a06ee64a7b94796204ac,100000,1758,0,EU-West,58,0.7962,235.32,0.9,0,0,False,2025-12-17T23:57:12.329990
0x311747c4e8a723cc3994302c97fad995264e2415,2480.0,991,0,US-West,87,0.9285,132.64,0.85,0,0,False,2025-11-18T23:57:12.329990
0x1c190ecadf311ef8138c52f11c79958c34d0da1b,500,4344,0,,50,0.8336,247.63,0.9,0,0,False,2025-12-25T23:57:12.329990
0xd1d0f7870ad006f1174ae49a3126509f7e6d4523,4031.53,1937,84,US-East,18,0.5884,309.32,0.6391,4,0,True,2026-01-26T23:57:12.329990
0x527645578612c99bbe7238cc59ce50ce1942b629,13892.06,2722,0,US-West,48,0.8885,111.7,0.97,0,0,False,2025-12-27T23:57:12.329990
0x590906dbde51868c4af8659c15df75c5346ab1a8,11491.13,2984,64,US-West,60,0.9857,176.16,0.99,0,0,False,2025-12-15T23:57:12.329990
0xb8fad30726b1a41924fdc20c02da364bab409c2e,3505.31,3384,168,EU-Central,86,0.8422,313.22,0.8966,0,0,False,2025-11-19T23:57:12.329990
0x836bfb9dfccf1defe5ad9943341afd2d0a821a95,100000,1611,0,EU-West,86,0.826,304.26,0.852,0,0,False,2025-11-19T23:57:12.329990
0xc1146b9a6598b59498a327ee921ca7be0dbdce87,100000,4666,29,,15,0.9876,42.18,0.9101,0,0,False,2026-01-29T23:57:12.329990
0x1d42983b98c7607353f0b24032bb9a2ca935668a,592.87,2235,97,US-East,9,0.9389,149.58,0.97,0,0,False,2026-02-04T23:57:12.329990
0x060fad6e2d6d726aae93033cf460935b04a1d7eb,2164.2,3793,4,EU-West,69,0.789,255.65,0.9,0,0,True,2025-12-06T23:57:12.329990
0x93032d77a0eac7ae28eee33b3fd6f8ecf01d7bba,6566.87,2808,179,EU-West,66,0.9455,51.85,0.9,0,0,False,2025-12-09T23:57:12.329990
0x1758024404b9c9d923b2dcadf79e8dc6a13625f7,46698.09,1221,55,EU-West,34,0.602,346.33,0.6862,1,0,False,2026-01-10T23:57:12.329990
0x23dd1c33702a87b79b2b3851fc8b298549d6e901,77268.45,797,0,US-East,90,0.7485,1358.75,0.9,0,0,False,2025-11-15T23:57:12.329990
0xe848de46f7c5785293097f58a8697f1f4285c42f,26895.31,3564,194,Asia-Pacific,4,0.7268,4243.28,0.6191,1,0,True,2026-02-09T23:57:12.329990
0x20c60e770c69268f56f64b1597c176e86d73a079,500,1775,63,US-East,29,0.9026,313.65,0.7376,0,0,False,2026-01-15T23:57:12.329990
0xb0fb7c1fda62a00c2fcf37d5ab9c255e608b4993,500,3453,97,EU-Central,65,0.95,193.46,0.7399,1,0,True,2025-12-10T23:57:12.329990
0xda3d8e0f7df61796c2ba8a68d906309c41804055,8535.52,567,79,US-East,90,0.7783,310.47,0.8054,0,0,False,2025-11-15T23:57:12.329990
0x79f41c9c5a9f262c504f51232951f737767d3ecf,8102.49,860,76,US-East,67,0.966,314.42,0.8957,0,0,False,2025-12-08T23:57:12.329990
0xb7fa2f30b4d0a6b9588247a1248ffd6a3eee3925,1206.57,347,0,EU-Central,83,0.7393,560.47,0.7992,0,0,True,2025-11-22T23:57:12.329990
0xa49df58c2768351fffacce9bc592478a0b67995e,6154.81,2992,0,US-West,85,0.8503,220.04,0.9,0,0,False,2025-11-20T23:57:12.329990
0x4c308ba0f8dd820dbbf0260d10577d2ea8d13e88,19471.02,2010,73,Asia-Pacific,88,0.6652,597.5,0.6525,2,0,True,2025-11-17T23:57:12.329990
0x3f336e1e746656635564d45b5808518b7815fdec,500,2817,40,US-East,40,0.7786,267.02,0.9,0,0,False,2026-01-04T23:57:12.329990
0x0ae27a18bbefd9ce7ab1a3dc217c9fc1c8fe802b,4288.08,4584,52,South-America,26,0.5776,595.36,0.8,0,0,True,2026-01-18T23:57:12.329990
0x918bc768705199c39c2cb9645d559c985c0c1cfb,22602.92,3382,33,US-East,45,0.8529,308.36,0.7142,1,0,False,2025-12-30T23:57:12.329990
0x154c7039886fa20d4c6a4de71d8275fdf9de6c1e,54618.05,4338,35,US-East,90,0.9444,144.0,0.906,0,0,False,2025-11-15T23:57:12.329990
0x5ba0595146db5a8941f65ef3a7680dfffc401f1e,10714.47,853,0,,66,0.7692,421.22,0.6143,1,0,True,2025-12-09T23:57:12.329990
0x8e2b7c89063eb424cc3b1d91a319b8eaebabe80f,38159.99,3181,69,US-West,82,0.8171,264.61,0.7,2,0,True,2025-11-23T23:57:12.329990
0x0dd37fed676f367e3d409b6877c263c76f049bc8,86002.4,3004,0,South-America,45,0.99,143.13,0.97,0,0,False,2025-12-30T23:57:12.329990
0x773ec16242d11f3f69544a4c23adab342f24833d,2775.25,2433,0,US-West,30,0.9444,134.22,0.85,1,0,True,2026-01-14T23:57:12.329990
0x7aedcaa33c64f206387617604c284fee42cdcf28,8776.23,3150,24,EU-Central,61,0.9345,129.7,0.85,0,0,False,2025-12-14T23:57:12.329990
0x6195406edf18fe4d8ae00dd2faf2de42a09356f5,9418.61,3481,85,Asia-Pacific,5,0.9425,122.13,0.97,0,0,False,2026-02-08T23:57:12.329990
0xbff124d3500d7e8ce9dc64b9f83376762ac8b0c2,5688.03,3193,90,US-East,50,0.6174,512.48,0.8,0,0,False,2025-12-25T23:57:12.329990
0x5e21700b56d863997cbc13d0336e53aab4d2a81a,805.95,2813,0,EU-West,27,0.9573,52.44,0.99,0,0,False,2026-01-17T23:57:12.329990
0x64a736ceb8a850c29bd81ac5e542b1ec4c95bd45,500,1012,15,US-East,5,0.9207,298.43,0.7,1,0,True,2026-02-08T23:57:12.329990
0xb4ea382cd46f414d6a1313a04b082ea6fac8ea37,7169.43,1104,0,Asia-Pacific,26,0.952,90.94,0.85,0,0,False,2026-01-18T23:57:12.329990
0x39c2630bbeee187750ee7eaa4a5dd910ab41a1a3,757.68,4361,194,EU-West,82,0.9028,121.67,0.85,1,0,False,2025-11-23T23:57:12.329990
0x993f0cbbbca88c3b4d9f7115bf55c27846d7cea5,1403.46,5162,0,US-East,65,0.5788,3373.53,0.5759,2,0,True,2025-12-10T23:57:12.329990
0x551f2db5ac03e66659a5f5daf9287dd8b02be301,8642.61,659,22,EU-Central,36,0.8952,182.3,0.9,0,0,False,2026-01-08T23:57:12.329990
0x097a4b9d2c9f5abb111f6b0d7863be80b8cebc2a,7720.54,159,0,EU-Central,9,0.8987,135.24,0.8905,0,0,False,2026-02-04T23:57:12.329990
