stake,capacity_gb,utilization_gb,node_age_days,uptime_pct,avg_latency,post_success_rate,proof_misses,slashing_count,utilization_ratio,stake_per_gb,risk_score,event_success_rate,event_avg_latency,region_Asia-Pacific,region_EU-Central,region_EU-West,region_South-America,region_US-East,region_US-West,region_Unknown,is_failed,reliability_tier,provider_id
3352.82,1647,0,52,0.5955,530.2,0.5405,0,0,0.0,2.0357134183363694,30.515,1.0,590.96,False,True,False,False,False,False,False,True,silver,0x70a2b22d3798a27cc3a8973e0ab7b7d1b4f2b3ab
1318.65,3628,0,85,0.8593,238.88,0.7266,0,0,0.0,0.36346471885336273,15.157000000000002,1.0,242.395,False,False,False,False,False,True,False,True,gold,0xad1a78ed02364a2a84c271c5d20e36646178e912
77874.9,3080,84,38,0.8861,226.31,0.7454,1,0,0.02727272727272727,25.28405844155844,15.601,0.8571428571428571,238.7342857142857,True,False,False,False,False,False,False,False,gold,0x49b099584582e5b52f2a2ef2dfa6c9792b2b6059
2503.18,3397,87,50,0.99,144.1,0.8813,1,0,0.02561083308801884,0.7368795996467471,7.048000000000002,0.8571428571428571,144.11999999999998,False,False,False,False,True,False,False,True,platinum,0xd6c55d62414a73fc8a03294e856fd67709a377b8
3856.9,2732,117,22,0.7658,292.98,0.8052,0,0,0.042825768667642754,1.4117496339677893,14.817999999999998,1.0,306.874,False,False,False,True,False,False,False,False,gold,0x33a5b7773055d9400189a4cfe3ca38515c3249c0
35229.89,1351,0,31,0.6298,567.86,0.5192,1,0,0.0,26.076898593634343,32.338,0.8333333333333334,569.0383333333333,False,False,False,True,False,False,False,True,silver,0x93df8ee7900371504943c7e3564017ffbe22bf96
3693.12,1549,0,66,0.7211,530.17,0.8,0,0,0.0,2.3841962556488054,16.366999999999997,1.0,545.4666666666667,False,True,False,False,False,False,False,False,gold,0x014551fd282737279e4cfdb1f69f24cabeaf3faa
2947.32,408,200,4,0.5848,456.13,0.5247,1,0,0.49019607843137253,7.223823529411765,33.467999999999996,0.875,477.31125,False,False,True,False,False,False,False,True,silver,0x33ca39cd75a34fb0b1b2fa43e4070781db98072a
8129.41,493,0,78,0.9023,105.51,0.85,0,0,0.0,16.489675456389453,8.931000000000001,1.0,108.865,True,False,False,False,False,False,False,False,platinum,0xdbe5a1d861b9f59f57ed4635a6e30f018e101943
2568.89,2241,36,81,0.9461,116.76,0.97,0,0,0.01606425702811245,1.146314145470772,2.8169999999999993,1.0,107.895,False,False,False,False,False,True,False,False,platinum,0xcfc5e884ed723d0391933328f40b2ae5e6f229aa
1324.47,930,0,86,0.6452,340.99,0.6157,0,0,0.0,1.4241612903225807,26.016,1.0,333.45,False,True,False,False,False,False,False,True,silver,0xaf7e3570528d03a9ffa05afa89065bfb8db63965
17701.37,3107,0,80,0.8043,260.76,0.7,1,0,0.0,5.697254586417766,19.871000000000002,0.75,265.7625,False,False,True,False,False,False,False,True,gold,0xbaa13cc2b749bd4b27707b491ee2af746f5dab2e
20466.08,1165,92,13,0.9201,3259.07,0.9,0,0,0.07896995708154507,17.567450643776827,6.3969999999999985,1.0,985.75,False,False,True,False,False,False,False,False,platinum,0x83065e426fc4dc6a9aef2b41a249c7162dd28435
3045.61,2448,90,77,0.9193,190.89,0.775,0,0,0.03676470588235294,1.2441217320261437,11.421,1.0,187.4333333333333,False,True,False,False,False,False,False,False,gold,0x4236cbf91884aad7a7c90140852afadd2f038a2b
13063.31,3771,0,82,0.5558,603.49,0.5,0,0,0.0,3.4641500928135773,33.326,1.0,624.838,False,False,False,True,False,False,False,True,silver,0x250cbcbe1f43270d947e8cbabaa7f2370802efa7
24917.53,1893,72,10,0.99,143.76,0.85,0,0,0.03803486529318542,13.162984680401479,6.300000000000001,1.0,141.96800000000002,False,False,True,False,False,False,False,False,platinum,0xdef17773f7176fae7699ae9d2a77aab32cd0f322
100000.0,1758,0,58,0.7962,235.32,0.9,0,0,0.0,56.882821387940844,10.113999999999997,1.0,224.7275,False,False,True,False,False,False,False,False,gold,0xe7a45561a273dce59dc6a06ee64a7b94796204ac
2480.0,991,0,87,0.9285,132.64,0.85,0,0,0.0,2.5025227043390514,8.145000000000001,1.0,134.51333333333332,False,False,False,False,False,True,False,False,platinum,0x311747c4e8a723cc3994302c97fad995264e2415
500.0,4344,0,50,0.8336,247.63,0.9,0,0,0.0,0.1151012891344383,8.991999999999999,1.0,236.29,False,False,False,False,False,False,True,False,platinum,0x1c190ecadf311ef8138c52f11c79958c34d0da1b
4031.53,1937,84,18,0.5884,309.32,0.6391,4,0,0.04336602994321115,2.081326794011358,34.784,0.42857142857142855,305.91285714285715,False,False,False,False,True,False,False,True,silver,0xd1d0f7870ad006f1174ae49a3126509f7e6d4523
13892.06,2722,0,48,0.8885,111.7,0.97,0,0,0.0,5.103622336517266,4.545000000000003,1.0,112.345,False,False,False,False,False,True,False,False,platinum,0x527645578612c99bbe7238cc59ce50ce1942b629
11491.13,2984,64,60,0.9857,176.16,0.99,0,0,0.021447721179624665,3.850914879356568,0.8289999999999997,1.0,89.2125,False,False,False,False,False,True,False,False,platinum,0x590906dbde51868c4af8659c15df75c5346ab1a8
3505.31,3384,168,86,0.8422,313.22,0.8966,0,0,0.04964539007092199,1.0358481087470448,8.870000000000005,1.0,311.21333333333337,False,True,False,False,False,False,False,False,platinum,0xb8fad30726b1a41924fdc20c02da364bab409c2e
100000.0,1611,0,86,0.826,304.26,0.852,0,0,0.0,62.07324643078833,11.140000000000002,1.0,289.6166666666667,False,False,True,False,False,False,False,False,gold,0x836bfb9dfccf1defe5ad9943341afd2d0a821a95
100000.0,4666,29,15,0.9876,42.18,0.9101,0,0,0.006215173596228032,21.43163309044149,3.967999999999998,1.0,41.181666666666665,False,False,False,False,False,False,True,False,platinum,0xc1146b9a6598b59498a327ee921ca7be0dbdce87
592.87,2235,97,9,0.9389,149.58,0.97,0,0,0.043400447427293064,0.2652662192393736,3.033000000000002,1.0,151.86,False,False,False,False,True,False,False,False,platinum,0x1d42983b98c7607353f0b24032bb9a2ca935668a
2164.2,3793,4,69,0.789,255.65,0.9,0,0,0.0010545742156604272,0.5705773793830741,10.329999999999998,1.0,259.0225,False,False,True,False,False,False,False,True,gold,0x060fad6e2d6d726aae93033cf460935b04a1d7eb
6566.87,2808,179,66,0.9455,51.85,0.9,0,0,0.06374643874643875,2.338628917378917,5.634999999999999,1.0,52.93,False,False,True,False,False,False,False,False,platinum,0x93032d77a0eac7ae28eee33b3fd6f8ecf01d7bba
46698.09,1221,55,34,0.602,346.33,0.6862,1,0,0.04504504504504504,38.245773955773956,26.492,0.75,331.53499999999997,False,False,True,False,False,False,False,False,silver,0x1758024404b9c9d923b2dcadf79e8dc6a13625f7
77268.45,797,0,90,0.7485,1358.75,0.9,0,0,0.0,96.949121706399,11.544999999999998,1.0,570.0866666666667,False,False,False,False,True,False,False,False,gold,0x23dd1c33702a87b79b2b3851fc8b298549d6e901
26895.31,3564,194,4,0.7268,4243.28,0.6191,1,0,0.05443322109988777,7.546383277216611,25.432000000000002,0.8,1351.854,True,False,False,False,False,False,False,True,silver,0xe848de46f7c5785293097f58a8697f1f4285c42f
500.0,1775,63,29,0.9026,313.65,0.7376,0,0,0.03549295774647887,0.28169014084507044,13.418,1.0,283.3225,False,False,False,False,True,False,False,False,gold,0x20c60e770c69268f56f64b1597c176e86d73a079
500.0,3453,97,65,0.95,193.46,0.7399,1,0,0.0280915146249638,0.1448016217781639,13.904000000000002,0.8,190.342,False,True,False,False,False,False,False,True,gold,0xb0fb7c1fda62a00c2fcf37d5ab9c255e608b4993
8535.52,567,79,90,0.7783,310.47,0.8054,0,0,0.13932980599647266,15.053827160493828,14.434999999999999,1.0,309.4325,False,False,False,False,True,False,False,False,gold,0xda3d8e0f7df61796c2ba8a68d906309c41804055
8102.49,860,76,67,0.966,314.42,0.8957,0,0,0.08837209302325581,9.4215,5.191999999999998,1.0,238.79,False,False,False,False,True,False,False,False,platinum,0x79f41c9c5a9f262c504f51232951f737767d3ecf
1206.57,347,0,83,0.7393,560.47,0.7992,0,0,0.0,3.4771469740634005,15.853000000000002,1.0,566.176,False,True,False,False,False,False,False,True,gold,0xb7fa2f30b4d0a6b9588247a1248ffd6a3eee3925
6154.81,2992,0,85,0.8503,220.04,0.9,0,0,0.0,2.0570889037433155,8.491,1.0,220.58,False,False,False,False,False,True,False,False,platinum,0xa49df58c2768351fffacce9bc592478a0b67995e
19471.02,2010,73,88,0.6652,597.5,0.6525,2,0,0.03631840796019901,9.687074626865671,27.944000000000003,0.6666666666666666,585.795,True,False,False,False,False,False,False,True,silver,0x4c308ba0f8dd820dbbf0260d10577d2ea8d13e88
500.0,2817,40,40,0.7786,267.02,0.9,0,0,0.014199503017394392,0.17749378771742988,10.642,1.0,279.53,False,False,False,False,True,False,False,False,gold,0x3f336e1e746656635564d45b5808518b7815fdec
4288.08,4584,52,26,0.5776,595.36,0.8,0,0,0.011343804537521814,0.9354450261780105,20.671999999999997,1.0,564.6125000000001,False,False,False,True,False,False,False,True,gold,0x0ae27a18bbefd9ce7ab1a3dc217c9fc1c8fe802b
22602.92,3382,33,45,0.8529,308.36,0.7142,1,0,0.009757539917208752,6.6832998225901825,17.845000000000002,0.6666666666666666,302.8566666666666,False,False,False,False,True,False,False,False,gold,0x918bc768705199c39c2cb9645d559c985c0c1cfb
54618.05,4338,35,90,0.9444,144.0,0.906,0,0,0.008068234209313048,12.590606270170586,5.427999999999998,1.0,150.2125,False,False,False,False,True,False,False,False,platinum,0x154c7039886fa20d4c6a4de71d8275fdf9de6c1e
10714.47,853,0,66,0.7692,421.22,0.6143,1,0,0.0,12.560926143024618,24.352,0.875,432.80125,False,False,False,False,False,False,True,True,gold,0x5ba0595146db5a8941f65ef3a7680dfffc401f1e
38159.99,3181,69,82,0.8171,264.61,0.7,2,0,0.02169129204652625,11.996224457717698,21.487000000000002,0.7142857142857143,262.2857142857143,False,False,False,False,False,True,False,True,gold,0x8e2b7c89063eb424cc3b1d91a319b8eaebabe80f
